sep=,
//Automation Builder IO Mappings Export V1.0
//Important: change only first and fourth column in Excel
*Variable,Channel name,Data type,*Description,Terminal,Device name,Device type,Device path,Parameter ID,Device Guid,
,Digital inputs I0 - I7,BYTE,,,S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0,3248a174-6b7a-4116-bda1-57f4bd94439a,
iLS_WheelFL_0_90Deg,Digital input I0,BOOL,-A1_2:1.0  I0 : =E+F-B13 Wheel Front Left 0-90 Degree Limitswitch,="1.0",S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I0,3248a174-6b7a-4116-bda1-57f4bd94439a,
iLS_WheelFR_0_90Deg,Digital input I1,BOOL,-A1_2:1.1  I1 : =E+F-B23 Wheel Front Right 0-90 Degree Limitswitch,="1.1",S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I1,3248a174-6b7a-4116-bda1-57f4bd94439a,
iLS_WheelBL_0_90Deg,Digital input I2,BOOL,-A1_2:1.2  I2 : =E+F-B43 Wheel Back Left 0-90 Degree Limitswitch,="1.2",S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I2,3248a174-6b7a-4116-bda1-57f4bd94439a,
iLS_WheelFL_45Deg,Digital input I3,BOOL,-A1_2:1.3  I3 : =E+F-B15 Wheel Front Left 45 Degree Limitswitch,="1.3",S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I3,3248a174-6b7a-4116-bda1-57f4bd94439a,
iLS_WheelFR_45Deg,Digital input I4,BOOL,-A1_2:1.4  I4 : =E+F-B25 Wheel Front Right 45 Degree Limitswitch,="1.4",S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I4,3248a174-6b7a-4116-bda1-57f4bd94439a,
iLS_WheelBR_45Deg,Digital input I5,BOOL,-A1_2:1.5  I5 : =E+F-B35 Wheel Back Right 45 Degree Limitswitch,="1.5",S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I5,3248a174-6b7a-4116-bda1-57f4bd94439a,
iLS_WheelBL_45Deg,Digital input I6,BOOL,-A1_2:1.6  I6 : =E+F-B45 Wheel Back Left 45 Degree Limitswitch,="1.6",S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I6,3248a174-6b7a-4116-bda1-57f4bd94439a,
iLS_WheelFL_SpinPosition,Digital input I7,BOOL,-A1_2:1.7  I7 : =E+F-B16 Wheel Front Left Spin Position Limitswitch,="1.7",S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I7,3248a174-6b7a-4116-bda1-57f4bd94439a,
,Digital inputs I8 - I15,BYTE,,,S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1,3248a174-6b7a-4116-bda1-57f4bd94439a,
iLS_WheelBR_SpinPosition,Digital input I8,BOOL,-A1_2:2.0  I8 : =E+F-B36 Wheel Back Right Spin Position Limitswitch,="2.0",S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1.Digital_Input_I8,3248a174-6b7a-4116-bda1-57f4bd94439a,
iLS_WheelBR_0_90Deg,Digital input I9,BOOL,-A1_2:2.1  I9 : =E+F-B33 Wheel Back Right 0-90 Degree Limitswitch,="2.1",S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1.Digital_Input_I9,3248a174-6b7a-4116-bda1-57f4bd94439a,
